ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,total,pública,ejaensinofundamental,5,24.8
2016,urbana,privada,ejaensinofundamental,4,4.6000000000000005
2016,total,municipal,ejaensinofundamental,3,39.6
2016,rural,privada,ejaensinofundamental,5,29.1
2016,urbana,privada,ejaensinofundamental,5,13.700000000000001
2016,total,privada,ejaensinofundamental,5,13.8
2016,rural,municipal,ejaensinofundamental,5,62.2
2016,urbana,municipal,ejaensinofundamental,5,17.6
2016,total,municipal,ejaensinofundamental,5,30.6
2016,rural,estadual,ejaensinofundamental,5,30.3
2016,urbana,estadual,ejaensinofundamental,5,9.3
2016,total,privada,ejaensinofundamental,4,4.6000000000000005
2016,total,estadual,ejaensinofundamental,5,11.9
2016,urbana,federal,ejaensinofundamental,5,34.2
2016,total,federal,ejaensinofundamental,5,34.2
2016,rural,total,ejaensinofundamental,5,57.300000000000004
2016,urbana,total,ejaensinofundamental,5,14.700000000000001
2016,total,total,ejaensinofundamental,5,23.900000000000002
2016,rural,pública,ejaensinofundamental,4,2.8000000000000003
2016,urbana,pública,ejaensinofundamental,4,5.3
2016,total,pública,ejaensinofundamental,4,4.7
2016,rural,privada,ejaensinofundamental,4,2.2
2016,rural,federal,ejaensinofundamental,5,--
2016,total,total,ejaensinofundamental,1,30.2
2016,rural,federal,ejaensinofundamental,2,--
2016,urbana,estadual,ejaensinofundamental,3,35.9
2016,total,total,ejaensinofundamental,2,1.1
2016,rural,pública,ejaensinofundamental,1,11.1
2016,urbana,pública,ejaensinofundamental,1,37
2016,total,pública,ejaensinofundamental,1,30.8
2016,rural,privada,ejaensinofundamental,1,13.5
2016,urbana,privada,ejaensinofundamental,1,21.7
2016,total,privada,ejaensinofundamental,1,21.6
2016,rural,municipal,ejaensinofundamental,1,9
2016,urbana,municipal,ejaensinofundamental,1,31.900000000000002
2016,total,municipal,ejaensinofundamental,1,25.2
2016,rural,estadual,ejaensinofundamental,1,23
2016,urbana,estadual,ejaensinofundamental,1,46.2
2016,total,estadual,ejaensinofundamental,1,43.5
2016,rural,federal,ejaensinofundamental,1,--
2016,urbana,federal,ejaensinofundamental,1,54.9
2016,total,federal,ejaensinofundamental,1,54.9
2016,rural,total,ejaensinofundamental,1,11.1
2016,urbana,total,ejaensinofundamental,1,35.6
2016,rural,pública,ejaensinofundamental,5,57.4
2016,urbana,total,ejaensinofundamental,2,1.2
2016,rural,estadual,ejaensinofundamental,3,39
2016,rural,total,ejaensinofundamental,2,0.4
2016,urbana,federal,ejaensinofundamental,2,1.6
2016,total,estadual,ejaensinofundamental,3,36.2
2016,rural,federal,ejaensinofundamental,3,--
2016,urbana,federal,ejaensinofundamental,3,9.3
2016,total,federal,ejaensinofundamental,3,9.3
2016,rural,total,ejaensinofundamental,3,28.400000000000002
2016,urbana,total,ejaensinofundamental,3,43.300000000000004
2016,total,total,ejaensinofundamental,3,40.1
2016,rural,pública,ejaensinofundamental,2,0.4
2016,urbana,pública,ejaensinofundamental,2,1.3
2016,total,pública,ejaensinofundamental,2,1.1
2016,rural,privada,ejaensinofundamental,2,0
2016,urbana,privada,ejaensinofundamental,2,0.8
2016,total,privada,ejaensinofundamental,2,0.8
2016,rural,municipal,ejaensinofundamental,2,0.2
2016,urbana,municipal,ejaensinofundamental,2,0.8
2016,total,municipal,ejaensinofundamental,2,0.6
2016,rural,estadual,ejaensinofundamental,2,1.7
2016,urbana,estadual,ejaensinofundamental,2,2.2
2016,total,estadual,ejaensinofundamental,2,2.1
2016,total,federal,ejaensinofundamental,2,1.6
2016,urbana,pública,ejaensinofundamental,5,14.6
2016,urbana,estadual,ejaensinomedio,3,28.8
2016,urbana,total,ejaensinomedio,1,55.800000000000004
2016,rural,municipal,ejaensinomedio,4,4.4
2016,urbana,municipal,ejaensinomedio,4,4.2
2016,total,municipal,ejaensinomedio,4,4.2
2016,rural,estadual,ejaensinomedio,4,10
2016,urbana,estadual,ejaensinomedio,4,7.4
2016,total,estadual,ejaensinomedio,4,7.5
2016,rural,federal,ejaensinomedio,4,10.6
2016,urbana,federal,ejaensinomedio,4,9.1
2016,total,privada,ejaensinomedio,4,8.5
2016,total,federal,ejaensinomedio,4,9.3
2016,urbana,total,ejaensinomedio,4,7.4
